kutti,standard
তুই কি পড়াল্যাহা ছাইড়া দিবার চাস নি,তুই কি পড়ালেখা ছেড়ে দিতে চাস
তর কি পড়াল্যাহা করবার এক্কেরে ভালা লাগে নাইক্কা,তোর কি পড়ালেখা করতে একদমই ভাল লাগে নাহ
তুমি কি অহন খাইবার বইবা নি,তুমি কি এখন খেতে বসবা
আইজকা আমার খাইবার ভালা লাগতাছে না,আজকে আমার খেতে ভালো লাগছে না
আমার ইস্কুলে ম্যালা দোস্ত আছে,আমার বিদ্যালয়ে অনেক বন্ধু আছে
আমার ছোডো বইন ইস্কুলে যাইবার চায় না,আমার ছোট বোন বিদ্যালয়ে যেতে চায় না
আমার ইস্কুলে যাইবার ম্যালা ভালা লাগে,আমার বিদ্যালয়ে যেতে অনেক ভাল লাগে
হ্যায় হ্যার গেরামের একখান ইস্কুলে পড়াল্যাহা করে,সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে
হ্যায় ইস্কুলে যাইবার চায় না,সে বিদ্যালয়ে যেতে চায় না
হ্যার ইস্কুলে গিয়া পড়াল্যাহা করবার ভালা লাগে না,তার বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না
হ্যায় ইস্কুলে গিয়া দোস্তগোর লগে আড্ডা মারে,সে বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে
